name,mass,mass_error,star_luminosity,star_luminosity_error,temp_eq,temp_eq_error,semi_major_axis,semi_major_axis_error,star_mass,star_mass_error,star_radius,star_radius_error,star_teff,star_teff_error,radius,radius_error
2MASS J2140+1625 b,6356.568131893496,15891.420329733739,0.00025107368343168796,0.00021873075850914166,18.83100497214314,4.12152744980919,3.53,0.15,0.08,0.06,0.1,0.043,2300.0,80.0,10.312262272463586,4.3715024850660855
2MASS J2206-2047 b,9534.852197840244,14302.278296760365,0.0003310904616363318,0.00010092693714069435,17.756546200303227,1.568280079725879,4.48,0.4,0.13,0.05,0.11,0.015,2350.0,80.0,14.571674950220284,2.0176165315689625
beta Pic b,3782.1580384766303,948.7177936851042,12.219401222386868,1.6347650402496026,165.5303746130593,5.542003499321618,9.93,0.03,1.73,0.05,1.8,0.1,8052.0,150.0,15.132123986767219,0.22417961461877361
beta Pic c,2825.494534626659,238.3713049460061,12.219401222386868,1.6347650402496026,322.53033234457405,10.869519327213066,2.68,0.02,1.73,0.05,1.8,0.1,8052.0,150.0,13.450776877126417,1.120898073093868
DH Tau b,3813.9408791360975,1271.3136263786992,0.23924393849810385,0.055064081082896926,11.101190251978343,2.2723193255191236,330.0,124.5,0.41,0.123,1.26,0.1,3600.0,150.0,29.14334990044057,6.725388438563209
GJ 367  b,0.5460292025296513,0.10011594807732256,0.028832324462744256,0.002818657749501524,1383.8907446046928,35.45042430345648,0.0069,0.0001,0.454,0.011,0.457,0.013,3522.0,70.0,0.5895923864473747,0.020176165315689623
HAT-P-46 b,156.68940445117468,21.29450324184321,5.785202982715644,1.3356150028816391,1802.312772378223,105.77874122945218,0.0577,0.00115,1.763,0.3205,1.395,0.053,7587.0,413.5,14.392331258525266,2.2642141076496136
HAT-P-57 Ab,587.9825522001483,293.9912761000742,6.387301573346721,0.9521627007196418,2198.250466304266,87.16845135748487,0.0406,0.0011,1.47,0.12,1.5,0.05,7500.0,250.0,15.838289772816356,0.6052849594706887
HAT-P-69 b,1137.8256956089358,184.34047582491135,10.97686618757468,1.7759851025390572,1980.8157466991513,80.51246692730051,0.06555,0.000525,1.698,0.025,1.854,0.0325,7724.0,305.0,18.78625170505323,0.4707771906994246
HAT-P-70 b,2154.876596711895,1075.849156322974,15.790944425235715,4.931427018123016,2551.3468690840737,200.0446149995829,0.04739,0.000685,1.89,0.013,1.858,0.105,8450.0,615.0,20.960793966855334,1.401122591367335
HATS-70 b,4099.986445071305,540.3082912109471,12.540021981257276,4.661064481813373,2762.4886820543866,258.77837735540663,0.03632,0.0008049999999999999,1.78,0.12,1.88,0.0625,7930.0,725.0,15.513229331619133,0.857487025916809
HATS-76 b,835.5708809374,28.286728186926055,0.09145623799554477,0.0028039499216166706,940.2552366821787,8.467359812175063,0.02658,0.00025,0.662,0.018500000000000003,0.626,0.008,4016.0,17.0,12.094490208682837,0.3474784026590991
K2-123 b,2828.6728186926057,93.36209443718573,0.08278812171309428,0.005107690978308459,368.2038286150687,5.812819629996597,0.1649,0.0008,0.62,0.01,0.59,0.01,4035.0,52.0,2.7574092598109154,0.15692573023314152
K2-137 b,158.9142032973374,79.44121022833896,0.02582808119849118,0.0051323984160256885,1466.6276700141748,105.18222779954614,0.0058,0.0006,0.46,0.05,0.44,0.04,3492.0,70.0,0.8855094777441558,0.08967184584750945
K2-33 b,1175.9651044002967,587.9809630581154,0.15533935452264033,0.024082090414911737,864.9072855031733,41.41369485283367,0.0409,0.0023,0.56,0.09,1.05,0.07,3540.0,70.0,5.044041328922407,0.3530828930245684
K2-95 b,530.7734390131069,263.7975774735801,0.025079731079163683,0.0020516382220776763,421.642883767274,9.187030790666105,0.0696,0.0006,0.44,0.01,0.42,0.01,3548.0,59.0,3.8783073329047832,1.7486009940264342
kappa And b,5403.082912109471,572.0911318704146,78.38393356260991,4.49319748880576,103.05967597864378,15.52779449751968,78.9,23.0,2.8,0.15000000000000002,2.29,0.06,11361.0,66.0,15.916752637932925,0.6725388438563208
KELT-9 Ab,915.3458109926634,111.23994230813616,53.546790883339284,9.980316773745034,4106.843523801288,197.18393268821842,0.03368,0.00078,2.52,0.225,2.362,0.069,10170.0,450.0,21.700586695097286,0.526822094354118
Kepler-104 Ad,1760.7693725344984,1471.2276941267494,2.009729610580977,0.6707589649957392,657.9720870237261,55.707484820822486,0.2542,0.0073,1.08,0.1375,1.35,0.22,5921.0,106.385,2.6350071902290653,0.14403540239256205
Kepler-13 Ab,2949.4476131985816,50.85254505514797,9.30323705131239,1.289139007027169,2550.1107374226053,93.44756686812107,0.03641,0.00087,1.72,0.1,1.74,0.04,7650.0,250.0,16.947978865179284,0.39231432558285384
Kepler-1647 (AB)b,483.09917802390567,206.58846428653862,4.275257845517092,0.27686639995384776,243.00242604833332,3.954157440135696,2.7205,0.007,2.1885,0.01,1.79,0.006,6210.0,100.0,11.881519574795002,0.11208980730938681
Kepler-1659 b,9.00090047476119,0.2987587021989943,0.7019892495797839,0.2730565850666689,761.0692303156052,78.03498740659089,0.112293,0.0073,1.02,0.136,0.97,0.1,5370.0,442.8,1.905526724259576,0.20176165315689623
Kepler-1659 c,4.598977043424944,0.2987587021989943,0.7019892495797839,0.2730565850666689,664.5569498615545,66.69068823635817,0.14728,0.0073,1.02,0.136,0.97,0.1,5370.0,442.8,1.905526724259576,0.30264247973534436
Kepler-167 Ae,1271.3136263786992,7898.035903877669,0.28638885060301145,0.022784166793021192,148.6051233541857,3.1463890621668247,1.883,0.027,0.777,0.0325,0.749,0.02,4884.0,72.0,10.15982013452282,0.42033677741020053
Kepler-1971 b,0.340076395056302,0.16527077142923088,0.02191346982183603,0.0020398943728133245,1198.5154292323605,35.81848216084126,0.008,0.0003,0.41,0.02,0.4,0.01,3515.0,69.0,0.5100086232577099,0.030264247973534438
Kepler-21 Ab,6.680753106620064,1.398444989016569,5.129218958250322,0.18170732768604145,2012.148130580569,69499.2941253613,0.0434281,3.0,1.408,0.025500000000000002,1.902,0.015,6305.0,50.0,1.6499619635941738,0.020176165315689623
Kepler-448 b,349.6112472541423,683.3310741785508,4.21275896059475,0.46149361175044384,1032.9065606864428,31.51839020588359,0.154,0.0035,1.454,0.2455,1.491,0.06695,6779.23,106.32050000000001,13.787046299054577,0.6164939402016274
Kepler-59 c,435.4249170347045,217.71245851735225,1.0790577977576896,0.2531239959382351,738.8948987136584,43.632517739481614,0.148,0.002,1.04,0.123,0.94,0.1,6074.0,150.0,1.9839895893761463,1.1769429767485615
MASCARA-1 b,1175.9651044002967,286.0455659352073,12.883574151859712,2.658827775012619,2545.5738321720696,197.86954872844495,0.043,0.005,1.72,0.07,2.1,0.2,7554.0,150.0,16.813471096408023,3.3626942192816043
