name,mass_x,semi_major_axis_x,temp_eq_x,star_luminosity_x,star_radius_x,star_teff_x,star_mass_x,radius_x,mass_y,semi_major_axis_y,temp_eq_y,star_luminosity_y,star_radius_y,star_teff_y,star_mass_y,radius_y
109 Psc b,1825.2885390732174,2.051,252.61281284756896,2.8291026129550265,1.79,5600.0,1.13,12.912745802041359,,,,,,,,
51 Peg b,149.37935109949714,0.052,1320.4122113030705,1.364871657649329,1.176,5758.0,1.03,21.297063388783492,,,,,,,,
55 Cnc Ae,8.59090183025406,0.015439,1999.5797904850854,0.6325288193995567,0.963,5250.0,0.9,1.9469999529640487,,,,,,,,
AF Lep b,1191.8565247300305,8.98,110.28584771658863,1.9808539413179944,1.25,6130.0,1.2,14.571674950220284,,,,,,,,
BD-14 3065 Ab,3931.5373895761268,0.0656,2002.7578095616368,11.468645163809168,2.35,6935.0,1.41,21.633332810711654,,,,,,,,
BD+20 594 b,22.247988461627237,0.241,588.587849262069,1.1575415607400137,1.08,5766.0,1.67,2.5780655681158966,,,,,,,,
CoRoT-10 b,874.0281181353557,0.1055,697.8434381163298,0.3716968655234962,0.79,5075.0,0.89,10.87271130901052,,,,,,,,
CoRoT-11 b,740.5401873655923,0.04351,1710.0268194305888,2.688110963590311,1.36,6343.0,1.27,16.02884244524231,,,,,,,,
CoRoT-12 b,291.4486488473168,0.04016,1443.4477508492898,1.1597980721024648,1.116,5675.0,1.078,16.1409322525517,,,,,,,,
CoRoT-13 b,415.7195558258346,0.051,1275.7358371548687,1.1440386931632756,1.01,5945.0,1.09,9.919947946880733,,,,,,,,
CoRoT-14 b,2415.495890119528,0.027,1948.1454357862074,1.7436943815939678,1.21,6035.0,1.13,12.217788996723163,,,,,,,,
CoRoT-15 b,20150.32097810238,0.045,1744.123340917577,3.1116528743492458,1.46,6350.0,1.32,12.554058418651323,,,,,,,,
CoRoT-16 b,170.03819752815102,0.0618,1212.8865590934615,1.2956217913573758,1.19,5650.0,1.098,13.114507455198256,,,,,,,,
CoRoT-17 b,772.3230280250598,0.0461,1625.5236394836845,2.4639525953687893,1.59,5740.0,1.04,11.433160345557454,,,,,,,,
CoRoT-18 b,1102.8645708835215,0.0295,1528.515129062783,0.7862961127464989,1.0,5440.0,0.95,14.683764757529673,,,,,,,,
CoRoT-19 b,352.78953132008905,0.0518,1657.8595482667868,3.3622313153366017,1.65,6090.0,1.21,14.459585142910898,,,,,,,,
CoRoT-1 b,327.36325879251507,0.0254,2007.6157088081927,1.7403921374177544,1.11,6298.0,0.95,16.701381289098634,,,,,,,,
CoRoT-20 b,1347.5924439614212,0.0902,949.5260331731573,0.9083965765359583,0.92,5880.0,1.14,9.415543813988492,,,,,,,,
CoRoT-21 b,718.292198903965,0.0417,2044.4395107305054,5.044597386488976,1.95,6200.0,1.29,14.571674950220284,,,,,,,,
CoRoT-22 b,19.069704395680485,0.092,1007.0816889579663,1.4414530243561663,1.136,5939.0,1.099,4.8803902102507015,,,,,,,,
CoRoT-23 b,889.9195384650893,0.0477,1658.2381351014633,2.8200079227811132,1.61,5900.0,1.14,12.105699189413777,,,,,,,,
CoRoT-24 b,5.720911318704146,0.056,935.3921241014941,0.39866510899786817,0.86,4950.0,0.91,3.698963641209765,,,,,,,,
CoRoT-24 c,27.96889978033138,0.098,707.0899824860057,0.39866510899786817,0.86,4950.0,0.91,4.931951521613019,,,,,,,,
CoRoT-26 b,165.2707714292309,0.0526,1572.456894809942,2.8089488009773613,1.79,5590.0,1.09,14.123315720982738,,,,,,,,
CoRoT-27 b,3302.2371445186714,0.0476,1355.8871926373502,1.2689546086693761,1.08,5900.0,1.05,11.287443596055251,,,,,,,,
CoRoT-29 b,270.15414560547356,0.039,1219.4787879379292,0.5566965441724361,0.9,5260.0,0.976,10.088082657844813,,,,,,,,
CoRoT-2 Ab,1052.0120258283737,0.0281,1540.3809782555109,0.7382144914962502,0.938,5529.0,0.972,16.421156770825167,,,,,,,,
CoRoT-30 b,921.7023791245568,0.0844,896.1936491624542,0.7630254773150817,0.91,5660.0,0.98,11.309861557517127,,,,,,,,
CoRoT-31 b,266.9758615395268,0.0586,1568.5549027943464,3.4511560130554706,2.15,5370.0,1.25,16.365111867170473,,,,,,,,
CoRoT-33 b,18815.441670404747,0.0579,1015.8062877931657,0.5912775859720677,0.94,5225.0,0.86,12.32987880403255,,,,,,,,
CoRoT-35 b,349.6112472541423,0.0429,1910.9418954573407,4.075321267299121,1.65,6390.0,1.01,18.831087627976984,,,,,,,,
CoRoT-36 b,216.12331648437888,0.066,1557.3928920760056,4.255376222971783,1.52,6730.0,1.32,15.804662830623538,,,,,,,,
CoRoT-3 b,6884.163286840656,0.057,1635.6945406349528,3.8620319875558335,1.525,6558.0,1.36,13.338687069817029,,,,,,,,
CoRoT-4 b,228.83645274816584,0.09,1066.9685351770506,1.743206379585982,1.15,6190.0,1.1,13.338687069817029,,,,,,,,
CoRoT-5 b,148.42586587971314,0.04947,1441.7037758532085,1.7485548008600942,1.186,6100.0,1.0,14.907944372148446,,,,,,,,
CoRoT-6 b,940.7720835202374,0.0855,1018.063967030447,1.2975001930855894,1.025,6090.0,1.055,13.069671532274501,,,,,,,,
CoRoT-7 Ab,6.060987713760448,0.0172,1825.3911042573936,0.541487329347578,0.87,5313.0,0.93,1.5244213794076606,,,,,,,,
CoRoT-8 b,68.58737014313081,0.063,856.3910067370681,0.35450864420013295,0.77,5080.0,0.88,6.380151832050298,,,,,,,,
CoRoT-9 Ab,266.9758615395268,0.407,413.1344594378094,0.7942118162068039,0.94,5625.0,0.99,10.53644188708236,,,,,,,,
G 9-40 b,4.131769285730772,0.0418,439.65442966189937,0.010840659778002207,0.31,3348.0,0.29,1.905526724259576,,,,,,,,
GJ 1132 b,1.6590642824242023,0.0154,578.1038515141057,0.004398678610340738,0.207,3270.0,0.181,1.1601295056521534,,,,,,,,
GJ 1214 b,8.171368333549088,0.01411,576.3346989035267,0.0035121554265828735,0.216,3026.0,0.15,2.7420529562095295,,,,,,,,
