name,mass,mass_error,star_luminosity,star_luminosity_error,temp_eq,temp_eq_error,semi_major_axis,semi_major_axis_error,star_mass,star_mass_error,star_radius,star_radius_error,star_teff,star_teff_error,radius,radius_error
109 Psc b,1825.2885390732174,206.58846428653857,2.827144587169372,0.5607738045942722,252.61281284756896,13.529464436937085,2.051,0.08299999999999999,1.13,0.03,1.79,0.17,5600.0,80.0,12.912745802041359,1.1769429767485615
51 Peg b,149.37935109949714,15.89142032973374,1.3639270281093658,0.15805410200633874,1320.4122113030705,122.9099420455022,0.052,0.0092,1.03,0.126,1.176,0.051,5758.0,110.623,21.297063388783492,3.3626942192816043
55 Cnc Ae,8.59090183025406,0.429068348902811,0.6320910453390182,0.1114538604858112,1999.5797904850854,88.15011830015686,0.015439,1.5e-05,0.9,0.115,0.963,0.0654,5250.0,147.574,1.9469999529640487,0.037998444677882125
AF Lep b,1191.8565247300305,158.9142032973374,1.9794829895974888,0.20522624973966783,110.28584771658863,2.9444597053353134,8.98,0.11499999999999999,1.2,0.06,1.25,0.06,6130.0,60.0,14.571674950220284,1.6813471096408021
BD-14 3065 Ab,3931.5373895761268,286.0455659352073,11.46070769881429,0.9812328333037982,2002.7578095616368,62.72890155742677,0.0656,0.003,1.41,0.05,2.35,0.08,6935.0,90.0,21.633332810711654,1.0088082657844812
BD+20 594 b,22.247988461627237,9.534852197840243,1.1567404246435298,0.15109708931587187,588.587849262069,30.12894358378014,0.241,0.019,1.67,0.4,1.08,0.06,5766.0,99.0,2.5780655681158966,0.11208980730938681
CoRoT-10 b,874.0281181353557,44.495976923254474,0.37143961361477806,0.05189192933895878,697.8434381163298,25.85994451358742,0.1055,0.0021,0.89,0.05,0.79,0.05,5075.0,75.0,10.87271130901052,0.560449036546934
CoRoT-11 b,740.5401873655923,85.8136697805622,2.6862505183179097,0.527832853361423,1710.0268194305888,84.29998039948336,0.04351,0.00036,1.27,0.05,1.36,0.13,6343.0,72.0,16.02884244524231,0.3698963641209765
CoRoT-12 b,291.4486488473168,21.453417445140552,1.1589953742713828,0.20195535692873665,1443.4477508492898,65.02636858661202,0.04016,0.00092,1.078,0.072,1.116,0.092,5675.0,80.0,16.1409322525517,1.4571674950220286
CoRoT-13 b,415.7195558258346,20.976674835248538,1.143246902419899,0.0969806616807333,1275.7358371548687,47.27857442504183,0.051,0.0031,1.09,0.02,1.01,0.03,5945.0,90.0,9.919947946880733,0.15692573023314152
CoRoT-14 b,2415.495890119528,190.69704395680486,1.7424875683289325,0.2577361612805689,1948.1454357862074,101.9594780799596,0.027,0.002,1.13,0.09,1.21,0.08,6035.0,100.0,12.217788996723163,0.7846286511657077
CoRoT-15 b,20150.32097810238,1366.6621483571016,3.1094992951414513,0.6958034933106071,1744.123340917577,252.18876807464588,0.045,0.012,1.32,0.12,1.46,0.135,6350.0,200.0,12.554058418651323,2.5220206644612033
CoRoT-16 b,170.03819752815102,27.01541456054736,1.2947250897445335,0.3181323198638603,1212.8865590934615,76.77161421155539,0.0618,0.0015,1.098,0.078,1.19,0.14,5650.0,100.0,13.114507455198256,1.5692573023314154
CoRoT-17 b,772.3230280250598,50.85254505514797,2.4622472904094472,0.2566037750557375,1625.5236394836845,44.63796036822858,0.0461,0.0008,1.04,0.1,1.59,0.07,5740.0,80.0,11.433160345557454,0.7846286511657077
CoRoT-18 b,1102.8645708835215,120.77479450597642,0.7857519161320436,0.21230803670975532,1528.515129062783,111.36222434369054,0.0295,0.0016,0.95,0.15,1.0,0.13,5440.0,100.0,14.683764757529673,2.0176165315689625
CoRoT-19 b,352.78953132008905,19.069704395680485,3.3599043104472712,0.22450261406400315,1657.8595482667868,30.5222637015197,0.0518,0.0008,1.21,0.06,1.65,0.04,6090.0,70.0,14.459585142910898,0.560449036546934
CoRoT-1 b,327.36325879251507,38.13940879136097,1.7391876096404275,0.17281390105779196,2007.6157088081927,52.31695647046744,0.0254,0.0004,0.95,0.15,1.11,0.05,6298.0,66.0,16.701381289098634,0.8967184584750945
CoRoT-20 b,1347.5924439614212,73.1005335167752,0.9077678740236095,0.20501775626986762,949.5260331731573,54.79842278102009,0.0902,0.0021,1.14,0.08,0.92,0.1,5880.0,90.0,9.415543813988492,0.44835922923754723
CoRoT-21 b,718.292198903965,98.52680604434919,5.041106013742097,1.133440458353621,2044.4395107305054,118.03899574912609,0.0417,0.0011,1.29,0.09,1.95,0.21,6200.0,100.0,14.571674950220284,1.5692573023314154
CoRoT-22 b,19.069704395680485,18.35459048084247,1.4404553927476222,0.1829398336277592,1007.0816889579663,33.04919336646321,0.092,0.0014,1.099,0.049,1.136,0.064,5939.0,87.0,4.8803902102507015,0.280224518273467
CoRoT-23 b,889.9195384650893,79.4571016486687,2.818056191442961,0.6584516674287366,1658.2381351014633,117.2463622325554,0.0477,0.0038,1.14,0.08,1.61,0.18,5900.0,100.0,12.105699189413777,1.4571674950220286
CoRoT-24 b,5.720911318704146,2.8588665173190995,0.39838919233097747,0.09635736031122102,935.3921241014941,58.975102328006784,0.056,0.002,0.91,0.09,0.86,0.09,4950.0,150.0,3.698963641209765,0.44835922923754723
CoRoT-24 c,27.96889978033138,11.123994230813619,0.39838919233097747,0.09635736031122102,707.0899824860057,44.10403976319041,0.098,0.003,0.91,0.09,0.86,0.09,4950.0,150.0,4.931951521613019,0.44835922923754723
CoRoT-26 b,165.2707714292309,15.89142032973374,2.8070047236725255,0.4686303439214847,1572.456894809942,67.31114817030146,0.0526,0.001,1.09,0.06,1.79,0.135,5590.0,100.0,14.123315720982738,1.1208980730938682
CoRoT-27 b,3302.2371445186714,174.80562362707116,1.268076363450125,0.3000856664710739,1355.8871926373502,123.57712059289048,0.0476,0.0066,1.05,0.11,1.08,0.12,5900.0,120.0,11.287443596055251,0.49319515216130194
CoRoT-29 b,270.15414560547356,63.56568131893496,0.5563112537332406,0.15426386537882641,1219.4787879379292,90.16010838239056,0.039,0.002,0.976,0.14,0.9,0.12,5260.0,100.0,10.088082657844813,1.793436916950189
CoRoT-2 Ab,1052.0120258283737,50.85254505514797,0.737703572237587,0.1590988552805044,1540.3809782555109,86.63860926305819,0.0281,0.0009,0.972,0.118,0.938,0.0946,5529.0,105.517,16.421156770825167,0.32506044119722177
CoRoT-30 b,921.7023791245568,69.92224945082846,0.762497386339218,0.10409643563360503,896.1936491624542,31.24368516158925,0.0844,0.0012,0.98,0.04,0.91,0.06,5660.0,50.0,11.309861557517127,0.8518825355513397
CoRoT-31 b,266.9758615395268,108.06165824218944,3.4487674632612935,1.8830401209162597,1568.5549027943464,218.8948767826074,0.0586,0.0034,1.25,0.22,2.15,0.5800000000000001,5370.0,112.5,16.365111867170473,3.3626942192816043
CoRoT-33 b,18815.441670404747,572.0911318704146,0.5908683619465726,0.09982060819257074,1015.8062877931657,91.39800481271465,0.0579,0.0092,0.86,0.004,0.94,0.07400000000000001,5225.0,80.0,12.32987880403255,5.940759787397501
CoRoT-35 b,349.6112472541423,117.59651044002968,4.072500731879283,0.5945658481296288,1910.9418954573407,72.69465296329699,0.0429,0.00092,1.01,0.07,1.65,0.1,6390.0,130.0,18.831087627976984,1.2329878804032548
