,mass,semi_major_axis,temp_eq,star_luminosity,star_radius,star_teff,star_mass,radius
Gaia DR3 2893941099963718528,17798.39076930179,0.009,4961.307566502301,8.145756831539254,1.23,8800.0,1.72,8.967184584750944
GJ 367  b,0.5460292025296513,0.0069,1383.8907446046928,0.02885229317428968,0.457,3522.0,0.454,0.5895923864473747
HD 152843 c,9.671518412675953,0.148,946.4505100209464,2.9105833574187403,1.43,6310.0,1.15,5.939638889324407
K2-123 b,2828.6728186926057,0.1649,368.2038286150687,0.0828454591686301,0.59,4035.0,0.62,2.7574092598109154
K2-137 b,158.9142032973374,0.0058,1466.6276700141748,0.0258459692291247,0.44,3492.0,0.46,0.8855094777441558
K2-138 f,1.589142032973374,0.1043,758.0140079338408,0.5554828101093088,0.86,5378.0,0.93,2.8134541634656087
K2-95 b,530.7734390131069,0.0696,421.642883767274,0.025097100816945446,0.42,3548.0,0.44,3.8783073329047832
KELT-9 Ab,915.3458109926634,0.03368,4106.843523801288,53.58387635741247,2.362,10170.0,2.52,21.700586695097286
Kepler-104 Ad,1760.7693725344984,0.2542,657.9720870237261,2.011121510527505,1.35,5921.0,1.08,2.6350071902290653
Kepler-105 b,5.085254505514797,0.066,1064.5160184330289,0.8198806098528311,0.89,5827.0,0.96,4.808652733572694
Kepler-107 d,3.8012277428723107,0.08377,1174.4262758904538,2.2168556073089754,1.45,5854.0,1.24,0.8630915162822784
Kepler-11 c,2.860455659352073,0.107,859.5628032136997,1.0375009591229136,1.06,5663.0,0.96,2.8694990671203024
Kepler-11 f,1.9069704395680487,0.25,562.3050229591797,1.0375009591229136,1.06,5663.0,0.96,2.488393722268387
Kepler-1876 b,2.4154958901195283,0.0758,1300.6172406439073,2.7300591736295923,1.48,6104.0,1.19,0.8530034336244336
Kepler-1971 b,0.340076395056302,0.008,1198.5154292323605,0.02192864666817033,0.4,3515.0,0.41,0.5100086232577099
Kepler-1972 Ab,2.0213886659421316,0.0794,1171.9499118131612,1.9704144227153606,1.384,5818.0,1.12,0.8020025712986626
Kepler-1972 Ac,2.1103806197886406,0.1025,1031.1304126277748,1.9704144227153606,1.384,5818.0,1.12,0.8680234678038914
Kepler-2002 b,7310.05335167752,0.1357,860.8374421130512,1.566610627986884,1.2,5900.0,0.91,2.80224518273467
Kepler-20 Af,14.302278296760365,0.13936,679.4765390385583,0.687434743439607,0.9164,5495.0,0.929,0.9420027406280868
Kepler-223 d,7.999740993987965,0.116,1082.522549121365,3.066363557964912,1.72,5829.0,1.12,5.2345940013483645
Kepler-223 e,4.799208939579589,0.14,985.5279434899659,3.066363557964912,1.72,5829.0,1.12,4.595682099684859
Kepler-37 b,3.178284065946748,0.1003,733.0864841750935,0.48248082132823616,0.79,5417.0,0.87,0.2914334990044057
Kepler-391 c,450.04502373805946,0.161,1132.37583824303,6.814511954691075,3.57,4940.0,1.22,3.542037910976623
Kepler-51 b,2.2247988461627237,0.2514,511.9276683989506,0.7202355970798358,0.881,5670.0,0.985,7.095284802684185
Kepler-51 c,4.131769285730772,0.384,414.14206056037744,0.7202355970798358,0.881,5670.0,0.985,9.00081152694376
Kepler-51 d,7.627881758272195,0.509,359.7070039982703,0.7202355970798358,0.881,5670.0,0.985,9.69576833226196
Kepler-55 Ac,69.79511808819058,0.2095,391.78655674545627,0.1717210413790549,0.715,4398.0,0.69,1.8494818206048824
Kepler-79 d,6.038739725298821,0.287,633.6721068004936,2.204670723624908,1.3,6174.0,1.17,7.162538687069817
Kepler-87 c,6.356568131893496,0.676,443.1658676723028,2.92472753508075,1.82,5600.0,1.1,6.142521440554398
Kepler-89 Ae,8.093881768021307,0.3046,645.8218780329529,2.679722020425982,1.4286,6184.0,1.183,6.116068246029382
PZ Tel b,8581.36697805622,27.0,57.14746071389342,1.1028464016544703,1.23,5338.0,1.13,27.125733368871607
TIC 434398831 c,7.2147048296991185,0.06572,1011.1153622491579,0.7495810218822699,0.909,5638.0,0.992,5.630271021150499
TOI-1064 c,2.510844412097931,0.09429,634.0435328779961,0.237671324050147,0.726,4734.0,0.748,2.651036032674307
TOI-1136 d,8.349352241242107,0.1062,840.1955514299135,0.932490674054982,0.968,5770.0,1.022,4.627067245731487
TOI-1221 b,1112.3994230813619,0.39,441.061262768489,0.9345196755234565,0.993,5700.0,1.03,2.9098513977516816
TOI-1266 c,2.9685173175942623,0.1047,353.0660925801985,0.026601070470357382,0.42,3600.0,0.45,2.1297063388783495
TOI-1749 Ab,19.069704395680485,0.0291,835.445632303852,0.0684903225909392,0.55,3985.0,0.58,1.3899136106363963
TOI-1749 Ac,2.0976674835248534,0.0443,677.0858928287888,0.0684903225909392,0.55,3985.0,0.58,2.1196182562205044
TOI-251 b,317.8284065946748,0.05741,1109.7760536792257,0.8301829895387083,0.881,5875.0,1.036,2.7394748906414135
TOI-700 c,2.510844412097931,0.0929,357.0104548288643,0.023227693485610913,0.42,3480.0,0.416,2.600483529577774
TOI-942 b,826.0360287395598,0.04796,1033.9235721412306,0.43648511157739045,0.893,4969.0,0.88,4.809773631645788
TOI-942 c,794.8888448932817,0.0847,778.0120417062691,0.43648511157739045,0.893,4969.0,0.88,5.790559445602922
